ID,Estado_de_la_desaparicion,Clasificacion_de_la_desaparicion,Fecha_de_la_desaparicion,Edad,Sexo,Pais,Ancestro,Estado_civil,Escolaridad,Pertenencia_grupal,Pais_de_desaparicion,Municio,Departamento,Contexto
176815,Aparecio Vivo,Sin Información,2023-02-04T00:00:00.000,44,Hombre,Colombia,Sin Información,Soltero (a),Sin información,Ninguno,Colombia,Jamundí,Valle Del Cauca,Desaparición
176818,Aparecio Vivo,Sin Información,2023-02-08T00:00:00.000,43,Hombre,Colombia,Sin Información,Unión Libre,Educación técnica profesional y tecnológica,Grupos étnicos,Colombia,Pereira,Risaralda,Desaparición
176819,Aparecio Vivo,Sin Información,2023-02-07T00:00:00.000,47,Hombre,Colombia,Mestizo,"Separado(a),Divorciado(a)",Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176820,Desaparecido,Sin Información,2023-02-03T00:00:00.000,3,Mujer,Colombia,Mestizo,No Aplica,Sin información,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176824,Aparecio Vivo,Sin Información,2023-02-08T00:00:00.000,40,Hombre,Colombia,Mestizo,Soltero (a),Educación básica primaria,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176825,Desaparecido,Sin Información,2023-02-09T00:00:00.000,24,Hombre,Colombia,Mestizo,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176826,Aparecio Vivo,Sin Información,2023-02-09T00:00:00.000,13,Mujer,Colombia,Blanco,Sin Información,Educación básica primaria,Ninguno,Colombia,Pereira,Risaralda,Desaparición
176827,Aparecio Muerto,Sin Información,2023-01-07T00:00:00.000,32,Hombre,Colombia,Mestizo,Soltero (a),Educación técnica profesional y tecnológica,Ninguno,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176828,Desaparecido,Sin Información,2023-01-20T00:00:00.000,40,Hombre,Colombia,Mestizo,Soltero (a),Educación inicial y educación preescolar,Múltiples factores,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176829,Aparecio Vivo,Sin Información,2023-01-28T00:00:00.000,14,Mujer,Colombia,Blanco,Soltero (a),Educación básica primaria,Ninguno,Colombia,Dagua,Valle Del Cauca,Desaparición
176830,Desaparecido,Sin Información,2023-02-06T00:00:00.000,14,Mujer,Colombia,Mestizo,Soltero (a),Educación básica primaria,Persona adicta a una droga natural o sintética,Colombia,Bogotá D.C.,Bogotá D.C.,Desaparición
176831,Aparecio Vivo,Sin Información,2023-02-06T00:00:00.000,18,Mujer,Sin Información,Blanco,Soltero (a),Educación media o secundaria alta,Ninguno,Colombia,Cali,Valle Del Cauca,Desaparición
